fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_depth	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220608 031035	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	41	TRUE	0.163798017556611	0.925582464204894	4150	469	0.027357843329729	-1	0.124025808188081	0.0803253161707997	0.265857081433448	10998000	1
20220608 031042	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	91	TRUE	0.22621231828771	0.840019490388739	4866	541	0.0350709499428545	1	0.0808489904337977	0.128736464706405	0.231783535383228	10217000	2
20220608 031057	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	399	TRUE	0.192304810813124	0.720202124134327	5055	589	0.0374695149248712	1	0.150586258645894	0.0717200820424801	0.480791228878338	10600000	3
20220608 031109	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	30	TRUE	0.208583107529557	0.546485034686824	4795	763	0.0337471337687694	-2	0.0914614109516454	0.0311207305717592	0.337499215422819	9582000	4
20220608 031129	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	247	TRUE	0.157666800659434	0.584316419691054	4960	522	0.0363164471651005	1	0.115959858952556	0.136910024794957	0.408162882687369	10569000	5
20220608 031138	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	35	TRUE	0.106100930205107	0.897618499610366	5160	464	0.0208635881446147	0	0.136357852948519	0.126117795236253	0.305287432164833	12343000	6
20220608 031146	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	21	TRUE	0.23094975138012	0.645339515044664	5088	662	0.0321208889102477	0	0.0382378276476326	0.0426879608175821	0.191961573482129	10615000	7
20220608 031218	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	507	TRUE	0.0309240715987592	0.624667852185667	4382	498	0.0479665898858069	2	0.110678495593472	0.0970047800116138	0.144678820804175	8078000	8
20220608 031231	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	90	TRUE	0.0750926780603671	0.704990441139995	5454	641	0.0194718320752145	-2	0.0864280257787969	0.0655995757319033	0.236554036001002	12496000	9
20220608 031247	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	84	TRUE	0.0830717726056335	0.603718189884805	4566	743	0.0253393030162746	-2	0.199925773981441	0.114175876839242	0.454558654798247	11929000	10
20220608 031301	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	50	TRUE	0.140506382085085	0.515756667850332	4455	686	0.0212478432804885	-2	0.0311294467033197	0.0746988479487805	0.206045249832742	12425000	11
20220608 031314	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	55	TRUE	0.0723097356747086	0.778731170855463	4313	483	0.0242238950768499	-2	0.0422917515078249	0.189419069605517	0.0815040975770292	12093000	12
20220608 031325	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	67	TRUE	0.127121005793257	0.753425976784072	5402	769	0.0495033066303154	-1	0.101842379451005	0.166501010236486	0.0596715155309842	7516000	13
20220608 031331	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	68	TRUE	0.272601007764655	0.675936722501906	4738	443	0.0393745403021091	2	0.170069106871314	0.146271623063108	0.0957741714406034	9285000	14
20220608 031357	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	83	TRUE	0.0354682511114515	0.479490354144946	4644	502	0.0175220392088738	0	0.0752792215479227	0.100430366862565	0.326116970264896	12968000	15
20220608 031409	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	204	TRUE	0.133180571954387	0.955498993924509	4358	563	0.0267242260037434	2	0.164539122780682	0.139639749468511	0.354980296439155	12014000	16
20220608 031416	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	25	TRUE	0.245379314469303	0.802973637574663	4929	422	0.0128508851561087	-1	0.0644286493874259	0.0187554058786999	0.154883638189252	13070000	17
20220608 031425	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	19	TRUE	0.295831121186428	0.455387923276673	5310	699	0.0291578029603611	-1	0.067827931249566	0.174887005022417	0.0331018219165142	10503000	18
20220608 031447	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	461	TRUE	0.0537272865591027	0.777361635263595	5216	614	0.0474468375027451	2	0.00753320729256504	0.0552494822341638	0.385757827141788	8233000	19
20220608 031505	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	193	TRUE	0.201169701764852	0.31616940191533	4210	655	0.0398932782307384	1	0.183926374764026	0.170787862001453	0.282457555236761	9611000	20
20220608 031526	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	507	TRUE	0.0422776609983218	0.983311896528014	4881	714	0.0135475295678286	1	0.129080194205097	0.0149126418672192	0.319222422274632	13118000	21
20220608 031609	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	259	TRUE	0.0217242657525801	0.296750267574357	4492	523	0.0305631415069069	-1	0.193369653513138	0.0494781788658454	0.497707557948565	10959000	22
20220608 031628	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	100	TRUE	0.0966600583878527	0.421857680483825	4273	575	0.044108279323781	0	0.0134355947013117	0.0378725460588208	0.0508072690055188	8652000	23
20220608 031636	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	27	TRUE	0.172644826352997	0.961159881680376	4782	787	0.0183734166780293	0	0.0582884643938289	0.155099618661269	0.443312008709957	12632000	24
20220608 031646	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	18	TRUE	0.287167290751887	0.558316618654256	4504	406	0.0302609259279928	-1	0.0990009922999889	0.157799568765848	0.108361514999868	10061000	25
20220608 031700	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	51	TRUE	0.114339678711387	0.396112779439944	4072	753	0.0420658145029275	0	0.0035197439771663	0.183375955927962	0.255088016655969	8943000	26
20220608 031712	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	60	TRUE	0.241892850081268	0.278815101645887	4683	790	0.0226808753109287	-2	0.140739745854969	0.0881397466964295	0.179886529859181	11375000	27
20220608 031721	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	45	TRUE	0.265958425671173	0.426112578773043	5026	730	0.0448585966243021	1	0.0223366642137989	0.105960339364699	0.462346851909792	8429000	28
20220608 031811	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	287	TRUE	0.0179762958401504	0.33521461777596	5467	631	0.0347982472597828	-1	0.0212554464634094	0.119845560899315	0.222048716189521	10544000	29
20220608 031832	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	71	TRUE	0.0602760848137162	0.499090598715055	4119	420	0.0114922289323726	0	0.181911268001164	3.49379649075369e-05	0.119421177078038	13088000	30
20220608 031847	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	140	TRUE	0.185160269595476	0.233526514092874	5185	610	0.0144791281152047	2	0.174969589138507	0.0111012819197236	0.39048574748449	12619000	31
20220608 031858	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	74	TRUE	0.218507816380782	0.257759099324337	4022	704	0.00968520862246536	2	0.0504476279602386	0.0939919187920168	0.133756983326748	12001000	32
20220608 031906	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	30	TRUE	0.255653312646512	0.364342931906382	4170	448	0.0455426521318495	2	0.148103402346735	0.0238603551690984	0.0175233268592921	8325000	33
20220608 031917	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	60	TRUE	0.280663046150585	0.204116248567071	5267	579	0.0092472709210361	-2	0.0455254636122845	0.196540169637754	0.426377344249179	11252000	34
20220608 031933	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	415	TRUE	0.116187681657611	0.857870292498006	5361	672	0.0156738047399105	1	0.157510197896045	0.181282812307796	0.00740467224063145	13327000	35
20220608 031942	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	34	TRUE	0.148465385451046	0.873255002043313	4607	546	0.0409348555008398	-1	0.118474209179274	0.0602903568625657	0.36862224437775	8686000	36
20220608 031956	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	253	TRUE	0.0852739185155518	0.832746255741896	4636	611	0.0147840947769788	1	0.138563163870866	0.0853126530321594	0.0961104104927918	12997000	37
20220608 032020	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	635	TRUE	0.0540061917544668	0.760551515998514	4918	691	0.0167618618945571	1	0.178695554159183	0.175880390740855	0.333357604689097	13353000	38
